Alu-001	chr22:17618704-17618704
Alu-776	chr9:100166704-100166714
Alu-777	chr9:125379769-125379770
Alu-778	chr9:125435511-125435521
Alu-779	chr9:135474434-135474435
Alu-780	chr9:27477130-27477140
Alu-781	chr9:27479739-27479749
Alu-782	chr9:5135253-5135263
Alu-783	chr9:85692771-85692781
Alu-784	chr9:90004822-90004832
Alu-785	chr9:94322025-94322341
Alu-786	chr9:97305836-97306165
Alu-787	chr9:98146370-98146380
Alu-788	chr12:71947562-71947605
Alu-789	chr2:160564097-160564420
Alu-790	chr4:38480304-38480314
Alu-791	chr6:26295774-26296107
Alu-792	chr4:148597732-148597792
Alu-793	chr2:43933589-43933590
Alu-794	chr5:35945007-35945008
Alu-795	chr4:110821017-110821298
Alu-796	chr6:139879344-139879454
Alu-797	chr15:87672240-87672241
Alu-798	chr20:57156839-57157173
Alu-799	chr4:106589528-106589866
Alu-800	chr4:80738731-80738741
Alu-801	chr4:80755635-80755636
Alu-802	chr5:101663685-101663685
Alu-803	chr5:119971415-119971416
Alu-804	chr5:98039926-98039927
Alu-805	chr4:157221495-157221793
Alu-806	chr6:121424513-121424654
Alu-807	chr6:121671516-121671618
Alu-808	chr5:101908780-101908781
Alu-809	chr5:102021846-102021856
Alu-810	chr5:131988139-131988491
Alu-811	chr5:137752260-137752627
Alu-812	chr5:144975065-144975381
Alu-813	chr5:158660035-158660036
Alu-814	chr5:96166406-96166632
